,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DD,0.24128922663278482,-0.073713047679497,0.14196256718098615,0.34623469813130336,0.09938237537647822,0.1998619377489684,0.17974136594120332,0.2755852735859914,-0.20912731953620603,-0.10172962829672365
DHR,0.25540090807764754,0.04426627063669537,0.1621942677785038,0.3088613506032528,0.1341446719635266,0.10407234977926605,0.6113002287939131,0.17899796362386386,0.1376141806889458,0.4471935777920901
DIS,0.19390554596923984,0.05524800693779672,0.29459634619219616,0.42876883253266695,0.2384035175391625,0.1512960076197897,0.041187668421791813,0.040067722470152764,0.01750830665226363,0.3189216851234125
DUK,0.11403527411923975,0.27215353907296086,0.037595876057812984,0.11091625738103492,0.25593776753348235,-0.08846611744095075,0.1429638241433887,0.12552711912963294,0.09649830118514817,0.12397919499479033
EMR,0.3382677359825247,-0.12050916091586132,0.15837280300665332,0.2920257802897638,-0.07327110384608802,-0.19507873137199322,0.2369761152378429,0.24778999804963062,-0.11198148204388693,0.29686694323380636
EXC,-0.09416842710948854,0.10121744122432488,-0.2765763685203278,-0.02133410156884981,0.3677804879020061,-0.23153732400039742,0.3107769284496458,0.15875796801448558,0.17721691652470534,0.07662975305668647
F,0.5609460997633039,-0.391299381224664,0.202139696672395,0.20990400554681787,0.057333556332124766,-0.022004364885485274,-0.039760199908267256,0.06169034497463412,-0.40988912815269957,0.2811422045102626
FDX,0.15688478895024968,-0.049901023734098236,0.10173453814286045,0.4504730699067112,0.2384945393437325,-0.11849501054933433,0.2973321831694265,0.3082582605434657,-0.41620823902960064,-0.008556478817836388
GD,0.07860003925336362,0.012069192949214807,0.07175510972065881,0.33074221457861475,0.4105791281363179,0.038247390476236584,0.2747392862100382,0.1747288501908647,-0.19662940752377606,0.1554312233379525
GE,0.23280373891958978,0.06019211236770522,0.1885037743674881,0.3174197488914956,-0.03846248350247585,0.27468589217687206,0.07365239970589345,-0.5273218102177936,-0.7580484014417189,0.4483737372220217
GILD,-0.13771611858488522,0.15263605643580513,0.6243293799766781,0.7296229065235036,0.2805909620323338,0.11477528844125068,-0.2539724866225397,0.01568223027699282,-0.10063632255807811,0.0837777747388978
GM,0.666883394902062,-0.5196413171883966,0.37131866900634175,0.36617382149917993,-0.09570429516178851,0.04672643379953228,0.12460619520590377,0.22663086003670802,-0.13283946798323829,0.1546437687807608
GOOG,-0.015143346127995816,0.10882407398515599,0.08738839311414504,0.4593430439731056,-0.03213056767397898,0.41202293997970657,0.05910434589022173,0.29783192320126434,0.011309240840536925,0.2734738867086409
